submission_pk,User,< Rank >,Classification (AUC ROC),Feature Selection (AUC ROC)
612053,chenj43,1.00 (1),0.92 (1),0.96 (1),
611920,pant2,4.00 (2),0.92 (2),0.91 (6),
612605,lamc3,4.00 (2),0.91 (3),0.91 (5),
609207,smitha21,6.00 (4),0.91 (4),0.85 (8),
612503,LyndonLynn,7.00 (6),0.91 (5),0.83 (9),
613430,yuw7,5.00 (3),0.91 (6),0.92 (4),
613151,patelr7,11.50 (9),0.91 (7),0.66 (16),
612649,littlj4,10.50 (7),0.91 (8),0.70 (13),
613876,zhuq2,12.00 (10),0.90 (9),0.68 (15),
613060,hour,11.00 (8),0.90 (10),0.74 (12),
613737,knissk,6.50 (5),0.89 (11),0.96 (2),
613421,Qianxy23,16.00 (13),0.88 (12),0.60 (20),
611958,miaoy2,17.00 (15),0.87 (13),0.59 (21),
613414,lix37,20.00 (18),0.87 (14),0.56 (26),
612389,tannej2,16.50 (14),0.87 (15),0.62 (18),
612673,panozm,11.50 (9),0.86 (16),0.90 (7),
612516,wuh7,11.50 (9),0.86 (16),0.90 (7),
612607,lyux2,20.00 (18),0.85 (17),0.58 (23),
612596,tanj9,22.50 (21),0.85 (18),0.55 (27),
612491,xingj,23.00 (22),0.85 (19),0.55 (27),
613364,Xinshi,24.50 (24),0.85 (20),0.52 (29),
613319,kambar,22.50 (21),0.85 (20),0.57 (25),
606181,owensj4,22.50 (21),0.85 (20),0.57 (25),
670558,klemer,26.00 (26),0.84 (21),0.45 (31),
613701,mariac,13.00 (11),0.83 (22),0.92 (4),
613708,liy62,22.50 (21),0.83 (23),0.58 (22),
609138,neusck,21.50 (20),0.83 (24),0.61 (19),
613526,littlj5,17.50 (16),0.81 (25),0.80 (10),
612850,boskaw,14.50 (12),0.81 (26),0.93 (3),
612774,huh6,28.00 (28),0.81 (26),0.50 (30),
611922,awal27,28.00 (28),0.81 (26),0.50 (30),
605358,ngwetl,28.00 (28),0.81 (26),0.50 (30),
613192,podgoj,20.50 (19),0.80 (27),0.69 (14),
612761,IDM_Dmay,29.00 (30),0.80 (28),0.50 (30),
611921,essump,28.50 (29),0.73 (29),0.53 (28),
612719,davida4,20.50 (19),0.72 (30),0.77 (11),
603552,figuej3,19.00 (17),0.72 (31),0.90 (7),
613253,mayerm2,28.50 (29),0.66 (32),0.57 (25),
613755,schopa,23.50 (23),0.50 (33),0.69 (14),
613382,decels,29.50 (31),0.50 (33),0.56 (26),
612455,bennek,25.00 (25),0.50 (33),0.62 (17),
608606,matkij,25.00 (25),0.50 (33),0.62 (17),
613219,sigoub,32.00 (34),0.42 (34),0.50 (30),
612547,pauldn,26.50 (27),0.34 (35),0.62 (18),
613305,mhajjam,30.50 (33),-1.00 (36),0.57 (25),
605712,chenw14,30.00 (32),-1.00 (36),0.57 (24),
